Name,Position,Age,Team_from,League_from,Country_From,Team_to,League_to,Country_to,Season,Market_value,Transfer_fee
Trevor Benjamin,Centre-Forward,21,Cambridge Utd.,England,England,Leicester,Premier League,England,2000-2001,NA,2250000
John Curtis,Right-Back,21,Man Utd,Premier League,England,Blackburn,England,England,2000-2001,NA,2250000
Peter Lövenkrands,Centre-Forward,20,Akademisk BK,Denmark,Denmark,Rangers,Scotland,Scotland,2000-2001,NA,2200000
Ivica Dragutinovic,Centre-Back,24,KAA Gent,Jupiler Pro League,Belgium,Standard Liège,Jupiler Pro League,Belgium,2000-2001,NA,2200000
Francesc Arnau,Goalkeeper,25,FC Barcelona,LaLiga,Spain,Málaga CF,LaLiga,Spain,2000-2001,NA,2100000
Bernt Haas,Right-Back,22,Grasshoppers,Super League,Super League,Sunderland,Premier League,England,2000-2001,NA,2100000
Pascal Ojigwe,Defensive Midfield,23,1. FC Köln,1.Bundesliga,German,Bay. Leverkusen,1.Bundesliga,Germany,2000-2001,NA,2100000
Chris Makin,Left-Back,27,Sunderland,Premier League,England,Ipswich,Premier League,England,2000-2001,NA,2100000
Frank Verlaat,Centre-Back,32,AFC Ajax,Eredivisie,Netherlands,Werder Bremen,1.Bundesliga,Germany,2000-2001,NA,2100000
Ashley Ward,Centre-Forward,29,Blackburn,England,England,Bradford City,Premier League,England,2000-2001,NA,2100000
David Healy,Centre-Forward,21,Man Utd,Premier League,England,Preston NE,England,England,2000-2001,NA,2000000
Georgi Peev,Right Midfield,21,Lok. Sofia,Bulgaria,Bulgaria,Dynamo Kyiv,Premier Liga,Russia,2000-2001,NA,2000000
Hervé Tum,Centre-Forward,21,FC Sion,Super League,Super League,FC Basel,Super League,Super League,2000-2001,NA,2000000
Goran Gavrancic,Centre-Back,22,Cukaricki,Serbia,Serbia,Dynamo Kyiv,Premier Liga,Russia,2000-2001,NA,2000000
Elvir Bolic,Centre-Forward,28,Fenerbahce,Süper Lig,Turkey,Rayo Vallecano,LaLiga,Spain,2000-2001,NA,2000000
Aleksandr Panov,Centre-Forward,24,Zenit S-Pb,Premier Liga,Russia,Saint-Étienne,Ligue 1,France,2000-2001,NA,2000000
Marzouq Al-Otaibi,Centre-Forward,0,Shabab,Saudi Arabia,Saudi Arabia,Ittihad,Saudi Arabia,Saudi Arabia,2000-2001,NA,2000000
Espen Baardsen,Goalkeeper,22,Spurs,Premier League,England,Watford,England,England,2000-2001,NA,2000000
Slavisa Jokanovic,Defensive Midfield,32,Dep. La Coruña,LaLiga,Spain,Chelsea,Premier League,England,2000-2001,NA,1900000
José Amavisca,Left Midfield,29,Racing,LaLiga,Spain,Dep. La Coruña,LaLiga,Spain,2000-2001,NA,1900000
Ivica Banovic,Defensive Midfield,19,NK Zagreb,Croatia,Croatia,Werder Bremen,1.Bundesliga,Germany,2000-2001,NA,1900000
Tommy Berntsen,Centre-Back,27,Lilleström SK,Eliteserien,Eliteserien,E. Frankfurt,1.Bundesliga,Germany,2000-2001,NA,1880000
Patricio Camps,Forward,28,Vélez Sarsfield,Argentina,Argentina,PAOK Saloniki,Super League,Super League,2000-2001,NA,1850000
Brett Emerton,Right Midfield,21,Sydney Olympic,Australia,Australia,Feyenoord,Eredivisie,Netherlands,2000-2001,NA,1800000
Sergej Barbarez,Second Striker,28,Bor. Dortmund,1.Bundesliga,German,Hamburger SV,1.Bundesliga,Germany,2000-2001,NA,1800000
Radek Bejbl,Defensive Midfield,27,Atlético Madrid,LaLiga2,Spain,Lens,Ligue 1,France,2000-2001,NA,1800000
Robin Nelisse,Centre-Forward,22,Feyenoord,Eredivisie,Netherlands,AZ Alkmaar,Eredivisie,Netherlands,2000-2001,NA,1800000
Yago Yao,Centre-Back,21,Sporting Gijón,LaLiga2,Spain,Celta de Vigo,LaLiga,Spain,2000-2001,NA,1800000
Zinédine Zidane,Attacking Midfield,29,Juventus,Serie A,Italy,Real Madrid,LaLiga,Spain,2001-2002,NA,77500000
Gianluigi Buffon,Goalkeeper,23,Parma,Serie A,Italy,Juventus,Serie A,Italy,2001-2002,NA,52880000
Gaizka Mendieta,Right Midfield,27,Valencia CF,LaLiga,Spain,Lazio,Serie A,Italy,2001-2002,NA,48000000
Juan Sebastián Verón,Central Midfield,26,Lazio,Serie A,Italy,Man Utd,Premier League,England,2001-2002,NA,42600000
Rui Costa,Attacking Midfield,29,Fiorentina,Serie A,Italy,AC Milan,Serie A,Italy,2001-2002,NA,42000000
Lilian Thuram,Centre-Back,29,Parma,Serie A,Italy,Juventus,Serie A,Italy,2001-2002,NA,41500000
Pavel Nedved,Left Midfield,28,Lazio,Serie A,Italy,Juventus,Serie A,Italy,2001-2002,NA,38700000
Filippo Inzaghi,Centre-Forward,27,Juventus,Serie A,Italy,AC Milan,Serie A,Italy,2001-2002,NA,37000000
Javier Saviola,Second Striker,19,River Plate,Argentina,Argentina,FC Barcelona,LaLiga,Spain,2001-2002,NA,35900000
Ruud van Nistelrooy,Centre-Forward,25,PSV Eindhoven,Eredivisie,Netherlands,Man Utd,Premier League,England,2001-2002,NA,28500000
Antonio Cassano,Second Striker,18,Bari,Serie B,Italy,AS Roma,Serie A,Italy,2001-2002,NA,28500000
Hidetoshi Nakata,Attacking Midfield,24,AS Roma,Serie A,Italy,Parma,Serie A,Italy,2001-2002,NA,28400000
Francesco Toldo,Goalkeeper,29,Fiorentina,Serie A,Italy,Inter,Serie A,Italy,2001-2002,NA,26500000
Jaap Stam,Centre-Back,29,Man Utd,Premier League,England,Lazio,Serie A,Italy,2001-2002,NA,25750000
Márcio Amoroso,Centre-Forward,27,Parma,Serie A,Italy,Bor. Dortmund,1.Bundesliga,Germany,2001-2002,NA,25500000
Stefano Fiore,Attacking Midfield,26,Udinese Calcio,Serie A,Italy,Lazio,Serie A,Italy,2001-2002,NA,25000000
Marcelo Salas,Centre-Forward,26,Lazio,Serie A,Italy,Juventus,Serie A,Italy,2001-2002,NA,25000000
Geovanni,Attacking Midfield,21,Cruzeiro,Brazil,Brazil,FC Barcelona,LaLiga,Spain,2001-2002,NA,21000000
Andrea Pirlo,Defensive Midfield,22,Inter,Serie A,Italy,AC Milan,Serie A,Italy,2001-2002,NA,18000000
Sérgio Conceição,Right Winger,26,Parma,Serie A,Italy,Inter,Serie A,Italy,2001-2002,NA,18000000
Robbie Keane,Centre-Forward,20,Inter,Serie A,Italy,Leeds,Premier League,England,2001-2002,NA,18000000
Sergio,Central Midfield,24,Espanyol,LaLiga,Spain,Dep. La Coruña,LaLiga,Spain,2001-2002,NA,17900000
Steve Marlet,Centre-Forward,27,Olympique Lyon,Ligue 1,France,Fulham,Premier League,England,2001-2002,NA,17600000
Philippe Christanval,Centre-Back,22,Monaco,Ligue 1,France,FC Barcelona,LaLiga,Spain,2001-2002,NA,17000000
Evanilson,Right-Back,25,Bor. Dortmund,1.Bundesliga,German,Parma,Serie A,Italy,2001-2002,NA,17000000
Robbie Fowler,Centre-Forward,26,Liverpool,Premier League,England,Leeds,Premier League,England,2001-2002,NA,16800000
Frank Lampard,Central Midfield,23,West Ham,Premier League,England,Chelsea,Premier League,England,2001-2002,NA,16000000
Javi Moreno,Centre-Forward,26,Alavés,LaLiga,Spain,AC Milan,Serie A,Italy,2001-2002,NA,16000000
Luca Toni,Centre-Forward,24,Vicenza,Serie B,Italy,Brescia,Serie A,Italy,2001-2002,NA,15500000
Cristian Zenoni,Right-Back,24,AC Milan,Serie A,Italy,Juventus,Serie A,Italy,2001-2002,NA,15500000
Darko Kovacevic,Centre-Forward,27,Juventus,Serie A,Italy,Lazio,Serie A,Italy,2001-2002,NA,15000000
Michalis Konstantinou,Centre-Forward,23,Iraklis,Super League,Super League,Panathinaikos,Super League,Super League,2001-2002,NA,15000000
Massimo Donati,Defensive Midfield,20,Atalanta,Serie A,Italy,AC Milan,Serie A,Italy,2001-2002,NA,15000000
Laurent Robert,Left Winger,26,Paris SG,Ligue 1,France,Newcastle,Premier League,England,2001-2002,NA,14330000
Ivan Pelizzoli,Goalkeeper,20,Atalanta,Serie A,Italy,AS Roma,Serie A,Italy,2001-2002,NA,14000000
Giovanni van Bronckhorst,Left-Back,26,Rangers,Scotland,Scotland,Arsenal,Premier League,England,2001-2002,NA,13500000
Adriano,Centre-Forward,19,Flamengo,Brazil,Brazil,Inter,Serie A,Italy,2001-2002,NA,13190000
Mohamed Kallon,Centre-Forward,21,Vicenza,Serie B,Italy,Inter,Serie A,Italy,2001-2002,NA,13000000
Goran Drulic,Centre-Forward,24,Red Star,Serbia,Serbia,Real Zaragoza,LaLiga,Spain,2001-2002,NA,13000000
Andy Cole,Centre-Forward,30,Man Utd,Premier League,England,Blackburn,Premier League,England,2001-2002,NA,12200000
Dean Richards,Centre-Back,27,Southampton,Premier League,England,Spurs,Premier League,England,2001-2002,NA,12150000
Simão,Left Winger,21,FC Barcelona,LaLiga,Spain,Benfica,Portugal,Portugal,2001-2002,NA,12000000
Éric Carrière,Attacking Midfield,28,FC Nantes,Ligue 1,France,Olympique Lyon,Ligue 1,France,2001-2002,NA,12000000
Daniel Van Buyten,Centre-Back,23,Standard Liège,Jupiler Pro League,Belgium,Marseille,Ligue 1,France,2001-2002,NA,11500000
Seth Johnson,Central Midfield,22,Derby,Premier League,England,Leeds,Premier League,England,2001-2002,NA,11500000
Emmanuel Petit,Defensive Midfield,30,FC Barcelona,LaLiga,Spain,Chelsea,Premier League,England,2001-2002,NA,11500000
Juan Carlos Valerón,Attacking Midfield,26,Atlético Madrid,LaLiga2,Spain,Dep. La Coruña,LaLiga,Spain,2001-2002,NA,11000000
Cristiano Zanetti,Defensive Midfield,24,AS Roma,Serie A,Italy,Inter,Serie A,Italy,2001-2002,NA,11000000
Diego Forlán,Second Striker,22,Independiente,Argentina,Argentina,Man Utd,Premier League,England,2001-2002,NA,11000000
Mario Turdó,Centre-Forward,22,Celta de Vigo,LaLiga,Spain,Stade Rennais,Ligue 1,France,2001-2002,NA,10820000
Salva Ballesta,Centre-Forward,26,Atlético Madrid,LaLiga2,Spain,Valencia CF,LaLiga,Spain,2001-2002,NA,10800000
Corrado Grabbi,Centre-Forward,25,Ternana,Serie B,Italy,Blackburn,Premier League,England,2001-2002,NA,10700000
Jan Koller,Centre-Forward,28,RSC Anderlecht,Jupiler Pro League,Belgium,Bor. Dortmund,1.Bundesliga,Germany,2001-2002,NA,10500000
Marco Materazzi,Centre-Back,27,Perugia,Serie A,Italy,Inter,Serie A,Italy,2001-2002,NA,10500000
Edwin van der Sar,Goalkeeper,30,Juventus,Serie A,Italy,Fulham,Premier League,England,2001-2002,NA,10300000
Martin Djetou,Centre-Back,26,Monaco,Ligue 1,France,Parma,Serie A,Italy,2001-2002,NA,9750000
Gareth Southgate,Centre-Back,30,Aston Villa,Premier League,England,Middlesbrough,Premier League,England,2001-2002,NA,9750000
Michael Ball,Left-Back,21,Everton,Premier League,England,Rangers,Scotland,Scotland,2001-2002,NA,9750000
Hugo Leal,Central Midfield,21,Atlético Madrid,LaLiga2,Spain,Paris SG,Ligue 1,France,2001-2002,NA,9500000
William Gallas,Centre-Back,23,Marseille,Ligue 1,France,Chelsea,Premier League,England,2001-2002,NA,9300000
Martin Laursen,Centre-Back,23,Hellas Verona,Serie A,Italy,Parma,Serie A,Italy,2001-2002,NA,9300000
Craig Bellamy,Left Winger,21,Coventry City,First Division,Ireland,Newcastle,Premier League,England,2001-2002,NA,9000000
John Hartson,Centre-Forward,26,Coventry City,First Division,Ireland,Celtic,Scotland,Scotland,2001-2002,NA,9000000
Fábio Rochemback,Central Midfield,19,Internacional,Brazil,Brazil,FC Barcelona,LaLiga,Spain,2001-2002,NA,9000000
Lucas Bernardi,Central Midfield,23,Marseille,Ligue 1,France,Monaco,Ligue 1,France,2001-2002,NA,9000000
Richard Wright,Goalkeeper,23,Ipswich,Premier League,England,Arsenal,Premier League,England,2001-2002,NA,9000000
Péguy Luyindula,Centre-Forward,22,R. Strasbourg,Ligue 2,France,Olympique Lyon,Ligue 1,France,2001-2002,NA,8800000
Edú Gaspar,Central Midfield,23,Corinthians,Brazil,Brazil,Arsenal,Premier League,England,2001-2002,NA,8750000
Flavio Roma,Goalkeeper,27,Piacenza,Serie A,Italy,Monaco,Ligue 1,France,2001-2002,NA,8500000
Jan Vennegoor of Hesselink,Centre-Forward,22,FC Twente,Eredivisie,Netherlands,PSV Eindhoven,Eredivisie,Netherlands,2001-2002,NA,8400000
Tomás Repka,Centre-Back,27,Fiorentina,Serie A,Italy,West Ham,Premier League,England,2001-2002,NA,8250000
Chris Kirkland,Goalkeeper,20,Coventry City,First Division,Ireland,Liverpool,Premier League,England,2001-2002,NA,8200000
Claudio Pizarro,Centre-Forward,22,Werder Bremen,1.Bundesliga,German,Bayern Munich,1.Bundesliga,Germany,2001-2002,NA,8200000
Alex,Attacking Midfield,23,Cruzeiro,Brazil,Brazil,Parma,Serie A,Italy,2001-2002,NA,8000000
Darko Kovacevic,Centre-Forward,28,Lazio,Serie A,Italy,Real Sociedad,LaLiga,Spain,2001-2002,NA,8000000
Boudewijn Zenden,Left Winger,24,FC Barcelona,LaLiga,Spain,Chelsea,Premier League,England,2001-2002,NA,8000000
Patrik Andersson,Centre-Back,29,Bayern Munich,1.Bundesliga,German,FC Barcelona,LaLiga,Spain,2001-2002,NA,8000000
Bosko Balaban,Centre-Forward,22,Dinamo Zagreb,Croatia,Croatia,Aston Villa,Premier League,England,2001-2002,NA,7800000
Hugo Ibarra,Right-Back,27,Boca Juniors,Argentina,Argentina,FC Porto,Portugal,Portugal,2001-2002,NA,7800000
Zlatan Ibrahimovic,Centre-Forward,19,Malmö FF,Sweden,Sweden,AFC Ajax,Eredivisie,Netherlands,2001-2002,NA,7800000
Jermaine Jenas,Central Midfield,18,Nottm Forest,First Division,Ireland,Newcastle,Premier League,England,2001-2002,NA,7500000
Fernando Meira,Centre-Back,23,Benfica,Portugal,Portugal,VfB Stuttgart,1.Bundesliga,Germany,2001-2002,NA,7500000
Jason Euell,Second Striker,24,MK Dons,First Division,Ireland,Charlton,Premier League,England,2001-2002,NA,7500000
Giuliano Giannichedda,Defensive Midfield,26,Udinese Calcio,Serie A,Italy,Lazio,Serie A,Italy,2001-2002,NA,7500000
Robert Kovac,Centre-Back,27,Bay. Leverkusen,1.Bundesliga,German,Bayern Munich,1.Bundesliga,Germany,2001-2002,NA,7500000
Jon Macken,Centre-Forward,24,Preston NE,First Division,Ireland,Man City,First Division,First Division,2001-2002,NA,7500000
Frédéric Née,Centre-Forward,26,SC Bastia,Ligue 1,France,Olympique Lyon,Ligue 1,France,2001-2002,NA,7500000
Don Hutchison,Attacking Midfield,30,Sunderland,Premier League,England,West Ham,Premier League,England,2001-2002,NA,7500000
Lee Hughes,Centre-Forward,25,West Brom,First Division,Ireland,Coventry City,First Division,First Division,2001-2002,NA,7500000
Peter Crouch,Centre-Forward,21,Portsmouth,First Division,Ireland,Aston Villa,Premier League,England,2001-2002,NA,7500000
Jerzy Dudek,Goalkeeper,28,Feyenoord,Eredivisie,Netherlands,Liverpool,Premier League,England,2001-2002,NA,7400000
Ewerthon,Centre-Forward,20,Corinthians,Brazil,Brazil,Bor. Dortmund,1.Bundesliga,Germany,2001-2002,NA,7100000
Marcelinho Paraíba,Attacking Midfield,26,Grêmio,Brazil,Brazil,Hertha BSC,1.Bundesliga,Germany,2001-2002,NA,7000000
Javier Chevantón,Centre-Forward,20,Danubio FC,Uruguay,Uruguay,Lecce,Serie A,Italy,2001-2002,NA,7000000
Cosmin Contra,Right-Back,25,Alavés,LaLiga,Spain,AC Milan,Serie A,Italy,2001-2002,NA,7000000
Camel Meriem,Attacking Midfield,22,FC Sochaux,Ligue 1,France,G. Bordeaux,Ligue 1,France,2001-2002,NA,7000000
Jesper Blomqvist,Left Midfield,27,Man Utd,Premier League,England,Everton,Premier League,England,2001-2002,NA,7000000
Nelson Vivas,Right-Back,31,Arsenal,Premier League,England,Inter,Serie A,Italy,2001-2002,NA,7000000
Milan Baros,Centre-Forward,20,Banik Ostrava,Czech Republic,Czech Republic,Liverpool,Premier League,England,2001-2002,NA,7000000
Olof Mellberg,Centre-Back,23,Racing,LaLiga2,Spain,Aston Villa,Premier League,England,2001-2002,NA,6800000
Szilard Nemeth,Second Striker,23,Inter Bratislava,Slovakia,Slovakia,Middlesbrough,Premier League,England,2001-2002,NA,6750000
Tomasz Radzinski,Centre-Forward,27,RSC Anderlecht,Jupiler Pro League,Belgium,Everton,Premier League,England,2001-2002,NA,6750000
Claudio Reyna,Central Midfield,28,Rangers,Scotland,Scotland,Sunderland,Premier League,England,2001-2002,NA,6700000
Steed Malbranque,Central Midfield,21,Olympique Lyon,Ligue 1,France,Fulham,Premier League,England,2001-2002,NA,6600000
Christian Ziege,Left Midfield,29,Liverpool,Premier League,England,Spurs,Premier League,England,2001-2002,NA,6500000
Joan Capdevila,Left-Back,23,Atlético Madrid,LaLiga2,Spain,Dep. La Coruña,LaLiga,Spain,2001-2002,NA,6400000
Matteo Sereni,Goalkeeper,26,Sampdoria,Serie B,Italy,Ipswich,Premier League,England,2001-2002,NA,6250000
Bart Goor,Left Midfield,28,RSC Anderlecht,Jupiler Pro League,Belgium,Hertha BSC,1.Bundesliga,Germany,2001-2002,NA,6250000
John Arne Riise,Left-Back,20,Monaco,Ligue 1,France,Liverpool,Premier League,England,2001-2002,NA,6100000
Alex,Attacking Midfield,24,Parma,Serie A,Italy,Cruzeiro,Brazil,Brazil,2001-2002,NA,6000000
Luke Young,Right-Back,21,Spurs,Premier League,England,Charlton,Premier League,England,2001-2002,NA,6000000
Rory Delap,Central Midfield,25,Derby,Premier League,England,Southampton,Premier League,England,2001-2002,NA,6000000
Goran Bunjevcevic,Centre-Back,28,Red Star,Serbia,Serbia,Spurs,Premier League,England,2001-2002,NA,6000000
Antonio Guayre,Right Winger,21,UD Las Palmas,LaLiga,Spain,Villarreal CF,LaLiga,Spain,2001-2002,NA,6000000
Gonzalo Sorondo,Centre-Back,21,Defensor,Uruguay,Uruguay,Inter,Serie A,Italy,2001-2002,NA,6000000
Zoltan Sebescen,Right-Back,25,VfL Wolfsburg,1.Bundesliga,German,Bay. Leverkusen,1.Bundesliga,Germany,2001-2002,NA,6000000
Lamberto Zauli,Attacking Midfield,30,Vicenza,Serie B,Italy,Bologna,Serie A,Italy,2001-2002,NA,6000000
Agustín Delgado,Centre-Forward,27,Necaxa,Mexico,Mexico,Southampton,Premier League,England,2001-2002,NA,5750000
Joey Gudjónsson,Central Midfield,21,RKC Waalwijk,Eredivisie,Netherlands,Real Betis,LaLiga,Spain,2001-2002,NA,5630000
Bernardo Romeo,Centre-Forward,24,San Lorenzo,Argentina,Argentina,Hamburger SV,1.Bundesliga,Germany,2001-2002,NA,5620000
Paulo Wanchope,Centre-Forward,24,West Ham,Premier League,England,Man City,First Division,First Division,2001-2002,NA,5600000
Didier Domi,Left-Back,23,Newcastle,Premier League,England,Paris SG,Ligue 1,France,2001-2002,NA,5580000
Niko Kovac,Defensive Midfield,29,Hamburger SV,1.Bundesliga,German,Bayern Munich,1.Bundesliga,Germany,2001-2002,NA,5500000
Shinji Ono,Attacking Midfield,21,Urawa Reds,J1 - 2nd Stage,J1 - 2nd Stage,Feyenoord,Eredivisie,Netherlands,2001-2002,NA,5500000
Marius Niculae,Centre-Forward,20,Dinamo Bukarest,Romania,Romania,Sporting CP,Portugal,Portugal,2001-2002,NA,5300000
Sylvain Legwinski,Left Midfield,28,G. Bordeaux,Ligue 1,France,Fulham,Premier League,England,2001-2002,NA,5250000
Jon Harley,Left-Back,21,Chelsea,Premier League,England,Fulham,Premier League,England,2001-2002,NA,5250000
Nicolás Medina,Defensive Midfield,19,Argentinos,Argentina,Argentina,Sunderland,Premier League,England,2001-2002,NA,5250000
Ronaldinho,Attacking Midfield,21,Grêmio,Brazil,Brazil,Paris SG,Ligue 1,France,2001-2002,NA,5100000
Victor Agali,Centre-Forward,22,Hansa Rostock,1.Bundesliga,German,FC Schalke 04,1.Bundesliga,Germany,2001-2002,NA,5100000
Nihat Kahveci,Centre-Forward,22,Besiktas,Süper Lig,Turkey,Real Sociedad,LaLiga,Spain,2001-2002,NA,5000000
César,Left Midfield,26,São Caetano,Brazil,Brazil,Lazio,Serie A,Italy,2001-2002,NA,5000000
Christian Panucci,Right-Back,28,Inter,Serie A,Italy,AS Roma,Serie A,Italy,2001-2002,NA,5000000
Ezequiel González,Attacking Midfield,20,CA Rosario,Argentina,Argentina,Fiorentina,Serie A,Italy,2001-2002,NA,5000000
Mantorras,Centre-Forward,19,Alverca,Portugal,Portugal,Benfica,Portugal,Portugal,2001-2002,NA,5000000
Eduardo Costa,Defensive Midfield,18,Grêmio,Brazil,Brazil,G. Bordeaux,Ligue 1,France,2001-2002,NA,5000000
Ümit Davala,Right Midfield,28,Galatasaray,Süper Lig,Turkey,AC Milan,Serie A,Italy,2001-2002,NA,5000000
Sander Westerveld,Goalkeeper,27,Liverpool,Premier League,England,Real Sociedad,LaLiga,Spain,2001-2002,NA,5000000
Lilian Laslandes,Centre-Forward,29,G. Bordeaux,Ligue 1,France,Sunderland,Premier League,England,2001-2002,NA,5000000
João Tomás,Centre-Forward,26,Benfica,Portugal,Portugal,Real Betis,LaLiga,Spain,2001-2002,NA,5000000
Delfim,Central Midfield,24,Sporting CP,Portugal,Portugal,Marseille,Ligue 1,France,2001-2002,NA,5000000
Jörg Albertz,Left Midfield,30,Rangers,Scotland,Scotland,Hamburger SV,1.Bundesliga,Germany,2001-2002,NA,5000000
David James,Goalkeeper,30,Aston Villa,Premier League,England,West Ham,Premier League,England,2001-2002,NA,4800000
Aníbal Matellán,Centre-Back,24,Boca Juniors,Argentina,Argentina,FC Schalke 04,1.Bundesliga,Germany,2001-2002,NA,4800000
Jérôme Rothen,Left Midfield,23,Troyes,Ligue 1,France,Monaco,Ligue 1,France,2001-2002,NA,4500000
Shota Arveladze,Centre-Forward,28,AFC Ajax,Eredivisie,Netherlands,Rangers,Scotland,Scotland,2001-2002,NA,4500000
Marcus Bent,Centre-Forward,23,Blackburn,Premier League,England,Ipswich,Premier League,England,2001-2002,NA,4500000
Jardel,Centre-Forward,27,Galatasaray,Süper Lig,Turkey,Sporting CP,Portugal,Portugal,2001-2002,NA,4500000
Patrick M'Boma,Centre-Forward,31,Parma,Serie A,Italy,Sunderland,Premier League,England,2001-2002,NA,4500000
Matthew Jones,Central Midfield,20,Leeds,Premier League,England,Leicester,Premier League,England,2001-2002,NA,4500000
James Scowcroft,Centre-Forward,25,Ipswich,Premier League,England,Leicester,Premier League,England,2001-2002,NA,4500000
Kenny Miller,Centre-Forward,22,Rangers,Scotland,Scotland,Wolves,First Division,First Division,2001-2002,NA,4500000
Jacek Bak,Centre-Back,28,Olympique Lyon,Ligue 1,France,Lens,Ligue 1,France,2001-2002,NA,4300000
Mido,Centre-Forward,18,KAA Gent,Jupiler Pro League,Belgium,AFC Ajax,Eredivisie,Netherlands,2001-2002,NA,4200000
Pablo Contreras,Centre-Back,22,Monaco,Ligue 1,France,Celta de Vigo,LaLiga,Spain,2001-2002,NA,4200000
Finidi George,Right Winger,30,RCD Mallorca,LaLiga,Spain,Ipswich,Premier League,England,2001-2002,NA,4200000
François Grenet,Right-Back,26,G. Bordeaux,Ligue 1,France,Derby,Premier League,England,2001-2002,NA,4190000
Lincoln,Attacking Midfield,22,Atlético-MG,Brazil,Brazil,1.FC K'lautern,1.Bundesliga,Germany,2001-2002,NA,4000000
